Wind speed,Linear,Nonlinear,IMF1+IMF2,Linear_Subseries,Nonlinear(t-1),Nonlinear(t-2),Nonlinear(t-3),Nonlinear(t-4),Linear_Pred,Nonlinear_Pred,y(t-1),y(t-2),y(t-3),y(t-4),Linear_Subseries_Pred
10.320 ,10.544 ,-0.225 ,0.296 ,10.023 ,0.126 ,0.041 ,-0.104 ,0.003 ,10.542 ,-0.141 ,10.050 ,9.219 ,8.615 ,8.631 ,10.018 
10.770 ,10.700 ,0.067 ,0.403 ,10.364 ,-0.225 ,0.126 ,0.041 ,-0.104 ,10.723 ,0.150 ,10.319 ,10.050 ,9.219 ,8.615 ,10.362 
10.560 ,10.452 ,0.106 ,-0.120 ,10.679 ,0.067 ,-0.225 ,0.126 ,0.041 ,10.514 ,0.150 ,10.767 ,10.319 ,10.050 ,9.219 ,10.689 
10.250 ,10.312 ,-0.062 ,-0.679 ,10.930 ,0.106 ,0.067 ,-0.225 ,0.126 ,10.185 ,-0.070 ,10.558 ,10.767 ,10.319 ,10.050 ,10.940 
10.460 ,10.633 ,-0.169 ,-0.631 ,11.096 ,-0.062 ,0.106 ,0.067 ,-0.225 ,10.575 ,-0.060 ,10.251 ,10.558 ,10.767 ,10.319 ,11.099 
11.390 ,11.201 ,0.190 ,0.203 ,11.188 ,-0.169 ,-0.062 ,0.106 ,0.067 ,11.147 ,0.257 ,10.465 ,10.251 ,10.558 ,10.767 ,11.175 
11.570 ,11.503 ,0.062 ,0.338 ,11.227 ,0.190 ,-0.169 ,-0.062 ,0.106 ,11.534 ,0.034 ,11.391 ,10.465 ,10.251 ,10.558 ,11.235 
11.280 ,11.453 ,-0.173 ,0.045 ,11.235 ,0.062 ,0.190 ,-0.169 ,-0.062 ,11.377 ,-0.206 ,11.566 ,11.391 ,10.465 ,10.251 ,11.236 
11.340 ,11.378 ,-0.042 ,0.104 ,11.232 ,-0.173 ,0.062 ,0.190 ,-0.169 ,11.394 ,0.045 ,11.280 ,11.566 ,11.391 ,10.465 ,11.235 
11.800 ,11.475 ,0.329 ,0.567 ,11.238 ,-0.042 ,-0.173 ,0.062 ,0.190 ,11.484 ,0.250 ,11.337 ,11.280 ,11.566 ,11.391 ,11.238 
11.360 ,11.616 ,-0.252 ,0.098 ,11.265 ,0.329 ,-0.042 ,-0.173 ,0.062 ,11.615 ,-0.270 ,11.805 ,11.337 ,11.280 ,11.566 ,11.264 
11.630 ,11.623 ,0.010 ,0.307 ,11.326 ,-0.252 ,0.329 ,-0.042 ,-0.173 ,11.626 ,-0.042 ,11.364 ,11.805 ,11.337 ,11.280 ,11.321 
11.440 ,11.379 ,0.066 ,0.016 ,11.429 ,0.010 ,-0.252 ,0.329 ,-0.042 ,11.534 ,0.106 ,11.633 ,11.364 ,11.805 ,11.337 ,11.421 
11.270 ,11.128 ,0.144 ,-0.313 ,11.585 ,0.066 ,0.010 ,-0.252 ,0.329 ,10.996 ,0.053 ,11.445 ,11.633 ,11.364 ,11.805 ,11.576 
11.060 ,11.293 ,-0.234 ,-0.739 ,11.798 ,0.144 ,0.066 ,0.010 ,-0.252 ,11.166 ,-0.247 ,11.272 ,11.445 ,11.633 ,11.364 ,11.793 
12.100 ,12.031 ,0.073 ,0.052 ,12.052 ,-0.234 ,0.144 ,0.066 ,0.010 ,11.830 ,0.074 ,11.059 ,11.272 ,11.445 ,11.633 ,12.060 
12.930 ,12.877 ,0.052 ,0.601 ,12.327 ,0.073 ,-0.234 ,0.144 ,0.066 ,12.867 ,0.131 ,12.104 ,11.059 ,11.272 ,11.445 ,12.319 
13.320 ,13.294 ,0.026 ,0.718 ,12.601 ,0.052 ,0.073 ,-0.234 ,0.144 ,13.222 ,0.009 ,12.928 ,12.104 ,11.059 ,11.272 ,12.601 
13.120 ,13.264 ,-0.143 ,0.267 ,12.854 ,0.026 ,0.052 ,0.073 ,-0.234 ,13.278 ,-0.108 ,13.319 ,12.928 ,12.104 ,11.059 ,12.856 
13.240 ,13.181 ,0.055 ,0.167 ,13.068 ,-0.143 ,0.026 ,0.052 ,0.073 ,13.162 ,0.124 ,13.122 ,13.319 ,12.928 ,12.104 ,13.072 
13.240 ,13.191 ,0.045 ,-0.003 ,13.239 ,0.055 ,-0.143 ,0.026 ,0.052 ,13.300 ,0.130 ,13.235 ,13.122 ,13.319 ,12.928 ,13.237 
13.030 ,13.135 ,-0.105 ,-0.337 ,13.367 ,0.045 ,0.055 ,-0.143 ,0.026 ,13.146 ,-0.007 ,13.236 ,13.235 ,13.122 ,13.319 ,13.374 
